RK,PLAYER,TEAM,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS
1,Charlie Blackmon,COL,104,13,28,5,3,3,12,1,1,8,20,0.269,0.33,0.462,0.792
2,Domingo Santana,SEA,104,11,30,5,0,3,20,2,0,9,30,0.288,0.342,0.423,0.765
3,Adam Eaton,WSH,103,16,30,4,1,2,9,4,1,9,21,0.291,0.348,0.408,0.756
4,Jorge Soler,KC,99,12,20,4,0,7,12,0,1,8,41,0.202,0.259,0.455,0.714
5,Stephen Piscotty,OAK,97,13,26,4,1,3,10,1,0,12,24,0.268,0.345,0.423,0.768
6,Trey Mancini,BAL,97,20,33,10,0,5,12,0,0,10,21,0.34,0.398,0.598,0.996
7,Mitch Haniger,SEA,96,23,22,8,1,6,15,3,0,12,29,0.229,0.324,0.521,0.845
8,Bryce Harper,PHI,95,14,22,7,0,4,18,1,0,19,35,0.232,0.371,0.432,0.802
9,Eddie Rosario,MIN,94,20,25,5,0,11,24,0,0,6,15,0.266,0.31,0.67,0.98
10,Adam Jones,ARI,93,10,25,8,0,3,16,0,1,9,14,0.269,0.358,0.452,0.81
11,Mookie Betts,BOS,93,18,28,8,0,5,14,1,0,17,17,0.301,0.411,0.548,0.959
12,Kole Calhoun,LAA,92,14,16,3,0,6,14,0,1,12,29,0.174,0.269,0.402,0.671
13,Yasiel Puig,CLE/CIN,92,8,19,4,0,4,15,3,1,4,23,0.207,0.235,0.38,0.615
14,Christian Yelich,MIL,90,20,30,3,0,10,26,6,0,14,19,0.333,0.425,0.7,1.125
15,Nomar Mazara,TEX,90,12,21,5,0,4,16,0,0,2,18,0.233,0.274,0.422,0.696
16,Michael Conforto,NYM,90,17,24,8,0,6,14,2,0,22,25,0.267,0.417,0.556,0.973
17,Ramon Laureano,OAK,87,16,22,4,0,3,11,3,1,6,24,0.253,0.32,0.402,0.722
18,Avisail Garcia,TB,86,11,22,4,1,4,10,2,0,6,27,0.256,0.312,0.465,0.777
19,Nicholas Castellanos,DET/CHC,82,15,22,9,0,2,7,1,0,8,25,0.268,0.33,0.451,0.781
20,Josh Reddick,HOU,81,13,29,3,0,3,7,1,1,8,11,0.358,0.416,0.506,0.922
21,Melky Cabrera,PIT,77,7,26,5,0,3,7,0,0,3,10,0.338,0.363,0.519,0.882
22,Joc Pederson,LAD,77,14,15,0,2,7,13,0,0,8,19,0.195,0.292,0.519,0.812
23,Joey Rickard,BAL/SF,76,7,16,4,2,1,4,1,2,6,22,0.211,0.277,0.355,0.632
24,Billy McKinney,TOR,76,9,17,6,0,1,4,0,0,4,17,0.224,0.268,0.342,0.61
25,Franmil Reyes,CLE/SD,72,9,18,2,0,8,13,0,0,7,17,0.25,0.313,0.611,0.924
26,Jose Martinez,STL,70,12,28,5,0,1,13,1,0,4,11,0.4,0.427,0.514,0.941
27,Jason Heyward,CHC,68,13,21,1,0,5,12,4,0,17,13,0.309,0.448,0.544,0.992
28,Scott Schebler,CIN,67,11,10,2,0,2,7,0,1,14,23,0.149,0.296,0.269,0.565
29,Tyler Naquin,CLE,63,7,18,5,0,1,7,3,0,3,15,0.286,0.318,0.413,0.731
30,Aaron Judge,NYY,61,10,17,2,0,5,9,2,1,11,20,0.279,0.392,0.557,0.949
31,Ben Zobrist,CHC,60,5,14,1,0,0,5,0,0,6,9,0.233,0.299,0.25,0.549
32,Ben Gamel,MIL,50,9,14,4,0,1,4,1,1,8,19,0.28,0.39,0.42,0.81
33,Hunter Pence,TEX,49,11,14,3,0,3,13,0,1,4,10,0.286,0.333,0.531,0.864
34,Carlos Gonzalez,CLE/CHC,46,8,12,0,0,2,5,0,0,4,12,0.261,0.333,0.391,0.725
35,Rosell Herrera,MIA,41,4,5,2,0,0,2,2,0,3,11,0.122,0.182,0.171,0.353
36,Dustin Peterson,DET,40,3,10,4,0,0,6,1,0,2,13,0.25,0.302,0.35,0.652
37,Isaac Galloway,MIA,38,5,8,1,0,0,1,2,0,0,6,0.211,0.211,0.237,0.447
38,Ryan Cordell,CHW,36,6,9,2,0,2,6,1,0,5,11,0.25,0.357,0.472,0.829
39,Blake Swihart,BOS/ARI,35,4,7,1,0,1,5,0,0,2,10,0.2,0.243,0.314,0.558
40,Nick Williams,PHI,33,3,6,2,0,1,4,0,0,2,11,0.182,0.27,0.333,0.604
41,Jake Cave,MIN,33,1,6,1,0,0,3,0,0,4,9,0.182,0.27,0.212,0.482
42,Aaron Altherr,NYM/PHI/SF,26,1,1,1,0,0,1,0,0,1,7,0.038,0.074,0.077,0.151
43,Gregory Polanco,PIT,26,2,7,1,0,0,0,0,0,3,6,0.269,0.345,0.308,0.653
44,Mark Zagunis,CHC,26,0,6,2,0,0,3,0,0,1,12,0.231,0.259,0.308,0.567
45,Matt Joyce,ATL,24,2,6,3,0,1,3,0,0,3,7,0.25,0.333,0.5,0.833
46,Peter O'Brien,MIA,24,1,3,0,0,1,2,0,0,3,12,0.125,0.222,0.25,0.472
47,Daniel Palka,CHW,24,0,1,0,0,0,1,0,0,5,11,0.042,0.233,0.042,0.275
48,Jordan Luplow,CLE,15,2,4,0,0,0,0,1,0,2,6,0.267,0.353,0.267,0.62
49,Phillip Ervin,CIN,10,1,2,0,1,0,1,0,1,3,5,0.2,0.385,0.4,0.785
50,Garrett Cooper,MIA,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0.5
51,Dylan Cozens,PHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
